time,p50,p10,p90,t1,t2,issue_date
2026-02-02T11:00,0.8284,0.4134,0.9674,0.8273,0.8814,2026-02-01
2026-02-02T12:00,0.9249,0.7314,0.9597,0.8552,0.9762,2026-02-01
2026-02-02T13:00,0.9219,0.7764,0.9673,0.8758,0.9953,2026-02-01
2026-02-02T14:00,0.9672,0.7797,0.976,0.9316,1.0,2026-02-01
2026-02-02T15:00,0.8734,0.6994,0.9726,0.7461,0.9323,2026-02-01
2026-02-02T16:00,0.9286,0.6199,0.9813,0.8529,0.9301,2026-02-01
2026-02-02T17:00,0.413,0.1807,0.8702,0.3556,0.4849,2026-02-01
2026-02-02T18:00,0.1809,0.0111,0.4453,0.2259,0.1827,2026-02-01
2026-02-02T19:00,0.1729,0.0126,0.4306,0.1867,0.1393,2026-02-01
2026-02-02T20:00,0.0822,0.01,0.3685,0.0894,0.085,2026-02-01
2026-02-02T21:00,0.0736,0.01,0.3525,0.0898,0.0516,2026-02-01
2026-02-02T22:00,0.0689,0.0087,0.3805,0.0952,0.0581,2026-02-01
2026-02-02T23:00,0.0964,0.0094,0.3936,0.0868,0.0689,2026-02-01
2026-02-03T00:00,0.2349,0.0233,0.6094,0.1992,0.1667,2026-02-02
2026-02-03T01:00,0.2865,0.035,0.7124,0.2945,0.2786,2026-02-02
2026-02-03T02:00,0.3031,0.0806,0.8244,0.3683,0.3529,2026-02-02
2026-02-03T03:00,0.303,0.0749,0.8514,0.3713,0.3529,2026-02-02
2026-02-03T04:00,0.303,0.0779,0.811,0.3616,0.3688,2026-02-02
2026-02-03T05:00,0.1375,0.0154,0.6099,0.1527,0.1356,2026-02-02
2026-02-03T06:00,0.0565,0.0109,0.3305,0.0687,0.0483,2026-02-02
2026-02-03T07:00,0.0666,0.0104,0.4162,0.068,0.0565,2026-02-02
2026-02-03T08:00,0.0416,0.0112,0.2523,0.0353,0.0284,2026-02-02
2026-02-03T09:00,0.0098,0.0094,0.1565,0.0085,0.008,2026-02-02
2026-02-03T10:00,0.0136,0.008,0.2915,0.0191,0.0295,2026-02-02
2026-02-03T11:00,0.0773,0.0083,0.5347,0.0972,0.1048,2026-02-02
2026-02-03T12:00,0.0732,0.0044,0.3591,0.0547,0.0487,2026-02-02
2026-02-03T13:00,0.0257,0.0093,0.2507,0.0118,0.0314,2026-02-02
2026-02-03T14:00,0.0211,0.0089,0.2567,0.0222,0.0304,2026-02-02
2026-02-03T15:00,0.0196,0.0098,0.1779,0.0149,0.0249,2026-02-02
2026-02-03T16:00,0.0243,0.0099,0.2894,0.0288,0.0368,2026-02-02
2026-02-03T17:00,0.1914,0.0182,0.5552,0.1707,0.1413,2026-02-02
2026-02-03T18:00,0.1703,0.0186,0.5703,0.176,0.1769,2026-02-02
2026-02-03T19:00,0.3446,0.0482,0.8043,0.2871,0.3517,2026-02-02
2026-02-03T20:00,0.4397,0.0711,0.8602,0.4411,0.4538,2026-02-02
2026-02-03T21:00,0.3336,0.0454,0.7638,0.3528,0.3696,2026-02-02
2026-02-03T22:00,0.3027,0.032,0.7672,0.3007,0.2967,2026-02-02
2026-02-03T23:00,0.3454,0.041,0.8154,0.3426,0.3519,2026-02-02
2026-02-04T00:00,0.3201,0.0236,0.7604,0.33,0.3209,2026-02-03
2026-02-04T01:00,0.4526,0.0616,0.8832,0.4564,0.451,2026-02-03
2026-02-04T02:00,0.3698,0.0376,0.7924,0.3405,0.3756,2026-02-03
2026-02-04T03:00,0.3398,0.0217,0.7829,0.3121,0.313,2026-02-03
2026-02-04T04:00,0.2792,0.0182,0.7342,0.256,0.2701,2026-02-03
2026-02-04T05:00,0.4497,0.0604,0.8824,0.4137,0.4341,2026-02-03
2026-02-04T06:00,0.401,0.1033,0.8582,0.3322,0.3829,2026-02-03
2026-02-04T07:00,0.4413,0.1026,0.8519,0.4215,0.4468,2026-02-03
2026-02-04T08:00,0.4196,0.0879,0.8226,0.3664,0.4034,2026-02-03
2026-02-04T09:00,0.3747,0.0335,0.9277,0.3705,0.4163,2026-02-03
2026-02-04T10:00,0.3661,0.0421,0.8883,0.3657,0.4113,2026-02-03
2026-02-04T11:00,0.1988,0.0225,0.7241,0.1834,0.2544,2026-02-03
2026-02-04T12:00,0.1964,0.0567,0.7262,0.1803,0.2158,2026-02-03
2026-02-04T13:00,0.2095,0.0771,0.6651,0.2022,0.2359,2026-02-03
2026-02-04T14:00,0.1858,0.0601,0.6307,0.159,0.2272,2026-02-03
2026-02-04T15:00,0.2,0.0469,0.5497,0.1371,0.1896,2026-02-03
2026-02-04T16:00,0.1845,0.045,0.5514,0.1272,0.2002,2026-02-03
2026-02-04T17:00,0.0801,0.0159,0.3675,0.0512,0.0348,2026-02-03
2026-02-04T18:00,0.034,0.0121,0.2597,0.0457,0.0344,2026-02-03
2026-02-04T19:00,0.0958,0.0106,0.3775,0.0959,0.0954,2026-02-03
2026-02-04T20:00,0.2261,0.0375,0.6874,0.2473,0.2156,2026-02-03
2026-02-04T21:00,0.4827,0.1276,0.9155,0.4979,0.4922,2026-02-03
2026-02-04T22:00,0.5138,0.1346,0.9453,0.4877,0.5034,2026-02-03
2026-02-04T23:00,0.6873,0.2268,1.0,0.6489,0.7498,2026-02-03
2026-02-05T00:00,0.7797,0.2943,0.9652,0.7632,0.8551,2026-02-04
2026-02-05T01:00,0.8075,0.468,0.9772,0.8047,0.827,2026-02-04
2026-02-05T02:00,0.8616,0.5101,0.9848,0.8586,0.8874,2026-02-04
2026-02-05T03:00,0.9412,0.6049,0.9829,0.9391,0.945,2026-02-04
2026-02-05T04:00,1.0,0.8356,1.0,0.9772,0.9859,2026-02-04
2026-02-05T05:00,0.968,0.968,0.9811,0.928,0.9769,2026-02-04
2026-02-05T06:00,0.9811,0.9811,0.9811,0.9734,0.9705,2026-02-04
2026-02-05T07:00,0.9809,0.9809,0.9809,0.9713,0.9701,2026-02-04
2026-02-05T08:00,0.9797,0.973,0.9844,0.9718,0.9697,2026-02-04
2026-02-05T09:00,0.9813,0.9298,0.9854,0.9785,0.9736,2026-02-04
2026-02-05T10:00,0.9783,0.9318,0.9837,0.9858,0.9693,2026-02-04
2026-02-05T11:00,0.9839,0.962,0.9839,0.9881,0.9699,2026-02-04
2026-02-05T12:00,0.9853,0.9597,0.9853,0.9865,0.9711,2026-02-04
2026-02-05T13:00,0.9849,0.8947,0.9849,0.988,0.9771,2026-02-04
2026-02-05T14:00,0.9843,0.8849,0.9843,0.9896,0.9806,2026-02-04
2026-02-05T15:00,0.9729,0.7733,0.9798,0.9803,0.997,2026-02-04
2026-02-05T16:00,0.9711,0.7513,0.9941,0.9664,0.9404,2026-02-04
2026-02-05T17:00,0.9003,0.7047,1.0,0.9449,0.9293,2026-02-04
2026-02-05T18:00,0.8097,0.3798,0.983,0.8498,0.8392,2026-02-04
2026-02-05T19:00,0.7793,0.1858,0.9674,0.8009,0.7892,2026-02-04
2026-02-05T20:00,0.761,0.1762,0.9928,0.8006,0.7649,2026-02-04
2026-02-05T21:00,0.7302,0.1438,1.0,0.7499,0.7419,2026-02-04
2026-02-05T22:00,0.5309,0.09,0.99,0.5112,0.5194,2026-02-04
2026-02-05T23:00,0.4881,0.1194,0.9742,0.4949,0.5308,2026-02-04
2026-02-06T00:00,0.38,0.0529,0.9185,0.3816,0.3386,2026-02-05
2026-02-06T01:00,0.3471,0.0505,0.8815,0.3309,0.3489,2026-02-05
2026-02-06T02:00,0.263,0.0332,0.791,0.2914,0.2396,2026-02-05
2026-02-06T03:00,0.1465,0.0155,0.6812,0.1531,0.1583,2026-02-05
2026-02-06T04:00,0.1154,0.0103,0.5196,0.116,0.1118,2026-02-05
2026-02-06T05:00,0.0867,0.0101,0.2962,0.0764,0.06,2026-02-05
2026-02-06T06:00,0.0203,0.0095,0.1606,0.0174,0.0198,2026-02-05
2026-02-06T07:00,0.1467,0.0133,0.4993,0.1357,0.0997,2026-02-05
2026-02-06T08:00,0.3413,0.0269,0.7399,0.2939,0.3026,2026-02-05
2026-02-06T09:00,0.1036,0.0032,0.5314,0.141,0.1079,2026-02-05
2026-02-06T10:00,0.0237,0.0083,0.2297,0.0167,0.0136,2026-02-05
2026-02-06T11:00,0.1947,0.0486,0.6993,0.1494,0.2007,2026-02-05
2026-02-06T12:00,0.7319,0.4228,0.981,0.6858,0.7483,2026-02-05
2026-02-06T13:00,0.8075,0.499,0.9834,0.8191,0.7989,2026-02-05
2026-02-06T14:00,0.9394,0.6402,0.9838,0.962,0.947,2026-02-05
2026-02-06T15:00,0.967,0.7128,0.9834,0.9838,0.9659,2026-02-05
2026-02-06T16:00,0.9631,0.7152,0.9837,0.9827,0.9667,2026-02-05
2026-02-06T17:00,0.968,0.719,0.9837,0.9641,0.9648,2026-02-05
2026-02-06T18:00,0.9688,0.7522,0.9835,0.9873,0.9776,2026-02-05
2026-02-06T19:00,0.9749,0.7227,0.985,0.9867,0.9657,2026-02-05
2026-02-06T20:00,0.9601,0.7273,0.9855,0.977,0.9373,2026-02-05
2026-02-06T21:00,0.9574,0.7027,0.9857,0.9775,0.9355,2026-02-05
2026-02-06T22:00,0.8898,0.6105,0.9786,0.9003,0.8805,2026-02-05
2026-02-06T23:00,0.6505,0.3667,0.9059,0.7617,0.6101,2026-02-05
2026-02-07T00:00,0.5172,0.2452,0.8388,0.5975,0.5031,2026-02-06
2026-02-07T01:00,0.3278,0.0711,0.7933,0.2747,0.3771,2026-02-06
2026-02-07T02:00,0.3029,0.0161,0.7926,0.2754,0.3289,2026-02-06
2026-02-07T03:00,0.2922,0.0194,0.7145,0.2694,0.323,2026-02-06
2026-02-07T04:00,0.299,0.0259,0.6878,0.276,0.2914,2026-02-06
2026-02-07T05:00,0.1026,0.0086,0.4925,0.0776,0.0928,2026-02-06
2026-02-07T06:00,0.0333,0.0091,0.2829,0.0365,0.0188,2026-02-06
2026-02-07T07:00,0.0181,0.0092,0.1388,0.021,0.0109,2026-02-06
2026-02-07T08:00,0.02,0.0094,0.1076,0.0096,0.0157,2026-02-06
2026-02-07T09:00,0.0142,0.0095,0.1417,0.0129,0.0129,2026-02-06
2026-02-07T10:00,0.0794,0.0159,0.5464,0.0224,0.0473,2026-02-06
2026-02-07T11:00,0.1925,0.0253,0.8273,0.1806,0.2863,2026-02-06
2026-02-07T12:00,0.3133,0.0573,0.8482,0.2831,0.3828,2026-02-06
2026-02-07T13:00,0.2695,0.0435,0.7913,0.2277,0.3429,2026-02-06
2026-02-07T14:00,0.2491,0.0374,0.7495,0.2149,0.2979,2026-02-06
2026-02-07T15:00,0.1412,0.011,0.3624,0.0785,0.1464,2026-02-06
2026-02-07T16:00,0.0381,0.0098,0.2637,0.0213,0.0395,2026-02-06
2026-02-07T17:00,0.1604,0.0464,0.6232,0.0722,0.1422,2026-02-06
2026-02-07T18:00,0.2241,0.0663,0.661,0.1865,0.2299,2026-02-06
2026-02-07T19:00,0.5644,0.213,0.8576,0.5464,0.5818,2026-02-06
2026-02-07T20:00,0.7087,0.2395,0.964,0.682,0.6661,2026-02-06
2026-02-07T21:00,0.8166,0.3639,0.9778,0.8459,0.7934,2026-02-06
2026-02-07T22:00,0.8418,0.4291,0.9773,0.8336,0.8124,2026-02-06
2026-02-07T23:00,0.841,0.4461,0.976,0.8399,0.8332,2026-02-06
2026-02-08T00:00,0.8968,0.6011,0.9792,0.9135,0.9051,2026-02-07
2026-02-08T01:00,0.8742,0.5879,0.9769,0.9065,0.8487,2026-02-07
2026-02-08T02:00,0.8159,0.363,0.9743,0.8509,0.7947,2026-02-07
2026-02-08T03:00,0.7178,0.2123,1.0,0.7122,0.7065,2026-02-07
2026-02-08T04:00,0.5491,0.166,0.9423,0.6143,0.596,2026-02-07
2026-02-08T05:00,0.4417,0.1888,0.9094,0.418,0.4649,2026-02-07
2026-02-08T06:00,0.4096,0.0692,0.8938,0.3957,0.4532,2026-02-07
2026-02-08T07:00,0.329,0.027,0.8136,0.2884,0.3396,2026-02-07
2026-02-08T08:00,0.114,0.0099,0.6346,0.0984,0.1093,2026-02-07
2026-02-08T09:00,0.0309,0.0098,0.4074,0.0135,0.0197,2026-02-07
2026-02-08T10:00,0.0152,0.0095,0.2382,0.0,0.0025,2026-02-07
2026-02-08T11:00,0.0053,0.0053,0.1753,0.0078,0.0071,2026-02-07
2026-02-08T12:00,0.0053,0.0053,0.1549,0.0099,0.002,2026-02-07
2026-02-08T13:00,0.0122,0.0096,0.2352,0.0083,0.0182,2026-02-07
2026-02-08T14:00,0.123,0.031,0.6,0.0651,0.0912,2026-02-07
2026-02-08T15:00,0.5943,0.206,0.9381,0.5396,0.6113,2026-02-07
2026-02-08T16:00,0.9417,0.6911,0.9854,0.9394,0.9543,2026-02-07
2026-02-08T17:00,0.9831,0.9775,0.9834,0.9839,0.9866,2026-02-07
2026-02-08T18:00,0.9874,0.9874,0.9874,0.973,0.9868,2026-02-07
2026-02-08T19:00,0.9922,0.9922,0.9922,0.9697,0.994,2026-02-07
2026-02-08T20:00,0.9829,0.9829,0.9829,0.9966,0.9903,2026-02-07
2026-02-08T21:00,0.986,0.986,0.986,0.987,0.9817,2026-02-07
2026-02-08T22:00,0.981,0.981,0.981,0.9873,0.9809,2026-02-07
2026-02-08T23:00,0.9831,0.9831,0.9831,0.9872,0.9804,2026-02-07
2026-02-09T00:00,0.9793,0.9793,0.9793,0.9919,0.9804,2026-02-08
2026-02-09T01:00,0.9796,0.9796,0.9799,0.9925,0.9742,2026-02-08
2026-02-09T02:00,0.9794,0.9794,0.9794,0.9886,0.9868,2026-02-08
2026-02-09T03:00,0.9792,0.9792,0.9792,0.9886,0.9818,2026-02-08
2026-02-09T04:00,0.9786,0.9786,0.9786,0.9963,0.9873,2026-02-08
2026-02-09T05:00,0.9814,0.976,0.9814,0.9764,0.9835,2026-02-08
2026-02-09T06:00,0.9892,0.8719,0.9892,0.9584,0.9886,2026-02-08
2026-02-09T07:00,0.9687,0.8713,0.9797,0.9452,0.9769,2026-02-08
2026-02-09T08:00,0.9666,0.8786,0.9822,0.9527,0.9769,2026-02-08
2026-02-09T09:00,0.9584,0.721,0.985,0.9583,0.9834,2026-02-08
2026-02-09T10:00,0.9702,0.8554,0.9837,0.959,0.9685,2026-02-08
2026-02-09T11:00,0.9648,0.9079,0.9825,0.9461,0.9746,2026-02-08
2026-02-09T12:00,0.9757,0.9207,0.9824,0.9567,0.9714,2026-02-08
2026-02-09T13:00,0.9662,0.8968,0.9831,0.9683,0.9699,2026-02-08
2026-02-09T14:00,0.9715,0.9486,0.9825,0.9855,0.9769,2026-02-08
2026-02-09T15:00,0.9751,0.8603,0.9814,0.9852,0.9756,2026-02-08
2026-02-09T16:00,0.9815,0.7918,0.9815,0.9835,0.974,2026-02-08
2026-02-09T17:00,0.9492,0.4726,0.9902,0.9457,0.9055,2026-02-08
2026-02-09T18:00,0.7604,0.1887,0.9573,0.7309,0.8084,2026-02-08
2026-02-09T19:00,0.2982,0.0748,0.8732,0.2691,0.25,2026-02-08
2026-02-09T20:00,0.2346,0.0168,0.5813,0.2215,0.1757,2026-02-08
2026-02-09T21:00,0.0692,0.009,0.2661,0.0551,0.0474,2026-02-08
2026-02-09T22:00,0.0455,0.0106,0.3036,0.0339,0.0209,2026-02-08
2026-02-09T23:00,0.0438,0.0104,0.258,0.032,0.0345,2026-02-08
2026-02-10T00:00,0.0649,0.0088,0.3601,0.0505,0.051,2026-02-09
2026-02-10T01:00,0.0441,0.0087,0.2961,0.0542,0.0299,2026-02-09
2026-02-10T02:00,0.0181,0.0093,0.1961,0.0151,0.0181,2026-02-09
2026-02-10T03:00,0.0126,0.009,0.195,0.0133,0.012,2026-02-09
2026-02-10T04:00,0.0297,0.0094,0.3178,0.0304,0.0216,2026-02-09
2026-02-10T05:00,0.0414,0.0235,0.3803,0.0281,0.0238,2026-02-09
2026-02-10T06:00,0.0517,0.0095,0.4299,0.0797,0.0605,2026-02-09
2026-02-10T07:00,0.1707,0.1476,0.6328,0.172,0.1692,2026-02-09
2026-02-10T08:00,0.2564,0.0595,0.8218,0.2535,0.315,2026-02-09
2026-02-10T09:00,0.1223,0.0055,0.5899,0.12,0.1345,2026-02-09
2026-02-10T10:00,0.1958,0.0563,0.7207,0.1773,0.2009,2026-02-09
2026-02-10T11:00,0.0553,0.0148,0.4762,0.0283,0.0605,2026-02-09
2026-02-10T12:00,0.0781,0.0161,0.6118,0.0801,0.1288,2026-02-09
2026-02-10T13:00,0.2024,0.0478,0.631,0.1694,0.2106,2026-02-09
2026-02-10T14:00,0.3333,0.0907,0.7148,0.2875,0.3791,2026-02-09
2026-02-10T15:00,0.2957,0.0793,0.7098,0.2624,0.3241,2026-02-09
2026-02-10T16:00,0.335,0.0437,0.7798,0.2882,0.3196,2026-02-09
2026-02-10T17:00,0.2436,0.038,0.674,0.2494,0.2299,2026-02-09
2026-02-10T18:00,0.1025,0.0105,0.3687,0.0994,0.1287,2026-02-09
2026-02-10T19:00,0.1266,0.0185,0.3772,0.1548,0.0853,2026-02-09
2026-02-10T20:00,0.5597,0.1124,0.8015,0.4893,0.5117,2026-02-09
2026-02-10T21:00,0.7803,0.2139,0.9701,0.7842,0.8142,2026-02-09
2026-02-10T22:00,0.9049,0.6083,0.9887,0.9489,0.9246,2026-02-09
2026-02-10T23:00,0.888,0.7103,0.9876,0.9567,0.9429,2026-02-09
2026-02-11T00:00,1.0,0.9636,1.0,1.0,0.9859,2026-02-10
2026-02-11T01:00,0.9603,0.918,0.9842,0.9783,0.9476,2026-02-10
2026-02-11T02:00,0.954,0.6646,0.9842,0.9578,0.9403,2026-02-10
2026-02-11T03:00,0.8791,0.4663,0.9915,0.9516,0.875,2026-02-10
2026-02-11T04:00,0.3938,0.2816,0.853,0.4182,0.3758,2026-02-10
2026-02-11T05:00,0.2854,0.1909,0.6802,0.2707,0.2705,2026-02-10
2026-02-11T06:00,0.0436,0.0112,0.3502,0.0549,0.0322,2026-02-10
2026-02-11T07:00,0.0542,0.011,0.3184,0.0646,0.0248,2026-02-10
2026-02-11T08:00,0.061,0.0074,0.4097,0.0623,0.0549,2026-02-10
2026-02-11T09:00,0.0175,0.0095,0.2876,0.0229,0.0121,2026-02-10
2026-02-11T10:00,0.031,0.0122,0.316,0.0223,0.0234,2026-02-10
2026-02-11T11:00,0.1402,0.0837,0.6178,0.1164,0.1177,2026-02-10
2026-02-11T12:00,0.069,0.069,0.5129,0.1434,0.1109,2026-02-10
2026-02-11T13:00,0.0751,0.0751,0.4123,0.1196,0.1313,2026-02-10
2026-02-11T14:00,0.3558,0.079,0.8416,0.3267,0.3479,2026-02-10
2026-02-11T15:00,0.8404,0.4873,0.976,0.849,0.7996,2026-02-10
2026-02-11T16:00,0.9724,0.6935,0.9829,0.9827,0.934,2026-02-10
2026-02-11T17:00,0.9361,0.653,0.9835,0.9509,0.9246,2026-02-10
2026-02-11T18:00,0.9237,0.6567,0.9809,0.9209,0.908,2026-02-10
2026-02-11T19:00,0.9257,0.6449,0.9824,0.9207,0.9295,2026-02-10
2026-02-11T20:00,0.836,0.5636,0.9875,0.8597,0.8389,2026-02-10
2026-02-11T21:00,0.8032,0.5422,0.9893,0.8098,0.7773,2026-02-10
2026-02-11T22:00,0.8565,0.5984,0.9841,1.0,0.8439,2026-02-10
2026-02-11T23:00,0.4489,0.0811,0.9773,0.4951,0.5167,2026-02-10
2026-02-12T00:00,0.3423,0.0551,0.8685,0.3619,0.3767,2026-02-11
2026-02-12T01:00,0.402,0.0669,0.897,0.4447,0.4526,2026-02-11
2026-02-12T02:00,0.4443,0.0592,0.9449,0.4675,0.463,2026-02-11
2026-02-12T03:00,0.3715,0.0292,0.8343,0.3685,0.3772,2026-02-11
2026-02-12T04:00,0.2804,0.0177,0.7483,0.2674,0.2648,2026-02-11
2026-02-12T05:00,0.053,0.0086,0.4549,0.0689,0.0343,2026-02-11
2026-02-12T06:00,0.0295,0.0101,0.2632,0.0345,0.0201,2026-02-11
2026-02-12T07:00,0.027,0.0094,0.124,0.019,0.014,2026-02-11
2026-02-12T08:00,0.0148,0.0091,0.1227,0.0102,0.0072,2026-02-11
2026-02-12T09:00,0.0207,0.0086,0.1205,0.0098,0.0193,2026-02-11
2026-02-12T10:00,0.0261,0.0093,0.1193,0.0115,0.029,2026-02-11
2026-02-12T11:00,0.0349,0.0281,0.3354,0.0,0.0046,2026-02-11
2026-02-12T12:00,0.0604,0.0328,0.4136,0.0458,0.0609,2026-02-11
2026-02-12T13:00,0.0382,0.0382,0.4172,0.0647,0.0869,2026-02-11
2026-02-12T14:00,0.0349,0.0349,0.391,0.0397,0.0516,2026-02-11
2026-02-12T15:00,0.0953,0.0325,0.3938,0.0469,0.0761,2026-02-11
2026-02-12T16:00,0.0604,0.013,0.4583,0.0583,0.0491,2026-02-11
2026-02-12T17:00,0.1386,0.01,0.4447,0.134,0.1281,2026-02-11
2026-02-12T18:00,0.1291,0.0233,0.4524,0.1032,0.13,2026-02-11
2026-02-12T19:00,0.1611,0.0233,0.5329,0.1328,0.1435,2026-02-11
2026-02-12T20:00,0.1204,0.02,0.5242,0.0856,0.1159,2026-02-11
2026-02-12T21:00,0.1622,0.0223,0.5432,0.1397,0.1333,2026-02-11
2026-02-12T22:00,0.0617,0.0099,0.4343,0.0509,0.0347,2026-02-11
2026-02-12T23:00,0.0347,0.01,0.2836,0.0422,0.0292,2026-02-11
2026-02-13T00:00,0.0293,0.0094,0.231,0.0246,0.0205,2026-02-12
2026-02-13T01:00,0.039,0.0094,0.2041,0.0181,0.0213,2026-02-12
2026-02-13T02:00,0.0175,0.0094,0.124,0.0154,0.0186,2026-02-12
2026-02-13T03:00,0.0365,0.0093,0.2075,0.0238,0.0206,2026-02-12
2026-02-13T04:00,0.0262,0.0091,0.166,0.0146,0.0133,2026-02-12
2026-02-13T05:00,0.0299,0.0091,0.1763,0.0259,0.0262,2026-02-12
2026-02-13T06:00,0.0321,0.0091,0.1067,0.0,0.0093,2026-02-12
2026-02-13T07:00,0.0125,0.0092,0.1316,0.0184,0.0169,2026-02-12
2026-02-13T08:00,0.0228,0.0103,0.1958,0.0261,0.0269,2026-02-12
2026-02-13T09:00,0.0198,0.0092,0.1594,0.0191,0.0182,2026-02-12
2026-02-13T10:00,0.0046,0.0046,0.1659,0.0162,0.0153,2026-02-12
2026-02-13T11:00,0.024,0.0092,0.318,0.0063,0.0209,2026-02-12
2026-02-13T12:00,0.0307,0.0141,0.2794,0.0176,0.0125,2026-02-12
2026-02-13T13:00,0.0761,0.0095,0.3414,0.0617,0.0677,2026-02-12
2026-02-13T14:00,0.0452,0.0147,0.254,0.0564,0.0421,2026-02-12
2026-02-13T15:00,0.0287,0.0132,0.2473,0.0476,0.0439,2026-02-12
2026-02-13T16:00,0.0477,0.0105,0.3567,0.036,0.0554,2026-02-12
2026-02-13T17:00,0.0808,0.0149,0.329,0.0648,0.0677,2026-02-12
2026-02-13T18:00,0.111,0.0142,0.3868,0.1005,0.0907,2026-02-12
2026-02-13T19:00,0.142,0.0264,0.4696,0.0956,0.1002,2026-02-12
2026-02-13T20:00,0.2261,0.035,0.688,0.235,0.2097,2026-02-12
2026-02-13T21:00,0.4964,0.1437,0.8923,0.4203,0.4514,2026-02-12
2026-02-13T22:00,0.5566,0.1613,0.9179,0.5434,0.5164,2026-02-12
2026-02-13T23:00,0.4542,0.1787,0.8998,0.446,0.4953,2026-02-12
2026-02-14T00:00,0.5071,0.2021,0.9448,0.5863,0.5268,2026-02-13
2026-02-14T01:00,0.5772,0.201,0.9359,0.6075,0.5861,2026-02-13
2026-02-14T02:00,0.6724,0.2569,0.9717,0.7123,0.6985,2026-02-13
2026-02-14T03:00,0.7238,0.2684,0.9705,0.7505,0.7471,2026-02-13
2026-02-14T04:00,0.6701,0.2006,0.9568,0.7289,0.6957,2026-02-13
2026-02-14T05:00,0.315,0.0824,0.6693,0.3072,0.2999,2026-02-13
2026-02-14T06:00,0.1626,0.0435,0.5798,0.1426,0.115,2026-02-13
2026-02-14T07:00,0.063,0.0095,0.2809,0.0545,0.0306,2026-02-13
2026-02-14T08:00,0.0462,0.0095,0.2805,0.0586,0.0209,2026-02-13
2026-02-14T09:00,0.0533,0.0113,0.2626,0.0506,0.0649,2026-02-13
2026-02-14T10:00,0.0202,0.0091,0.1508,0.0278,0.0248,2026-02-13
2026-02-14T11:00,0.0314,0.0079,0.4425,0.043,0.0042,2026-02-13
2026-02-14T12:00,0.0262,0.0117,0.4534,0.0594,0.0358,2026-02-13
2026-02-14T13:00,0.0126,0.0092,0.1372,0.0034,0.0098,2026-02-13
2026-02-14T14:00,0.0177,0.0094,0.2114,0.0133,0.0313,2026-02-13
2026-02-14T15:00,0.0163,0.0096,0.1525,0.0207,0.0146,2026-02-13
