issue_date,issued_at,time,lead_day,p50,p10,p90,t1,t2,curve,wind_100m,actual
2026-01-31,2026-01-31T23:59,2026-02-02T14:00,2,0.9889,0.8626,0.9889,0.96,1.0,0.6407,8.84,
2026-01-31,2026-01-31T23:59,2026-02-02T15:00,2,0.8645,0.6139,0.9708,0.7309,0.9335,0.4364,7.47,
2026-01-31,2026-01-31T23:59,2026-02-02T16:00,2,0.3403,0.1237,0.7577,0.2769,0.3666,0.0833,4.22,
2026-01-31,2026-01-31T23:59,2026-02-02T17:00,2,0.5379,0.384,0.9124,0.4839,0.5746,0.1904,5.66,
2026-01-31,2026-01-31T23:59,2026-02-02T18:00,2,0.3774,0.0624,0.776,0.3344,0.3709,0.0878,4.3,
2026-01-31,2026-01-31T23:59,2026-02-02T19:00,2,0.1247,0.0141,0.4544,0.1447,0.1026,0.0641,3.85,
2026-01-31,2026-01-31T23:59,2026-02-02T20:00,2,0.121,0.0216,0.5118,0.1274,0.0693,0.0952,4.43,
2026-01-31,2026-01-31T23:59,2026-02-02T21:00,2,0.1413,0.0236,0.5511,0.1387,0.0937,0.1046,4.59,
2026-01-31,2026-01-31T23:59,2026-02-02T22:00,2,0.1753,0.0104,0.5523,0.2132,0.1205,0.0457,3.43,
2026-01-31,2026-01-31T23:59,2026-02-02T23:00,2,0.054,0.0105,0.3215,0.0668,0.0509,0.0192,2.6,
2026-02-01,2026-02-01T23:59,2026-02-02T00:00,1,0.2143,0.0307,0.6513,0.1777,0.1988,0.2685,6.33,
2026-02-01,2026-02-01T23:59,2026-02-02T01:00,1,0.3188,0.0705,0.6658,0.2778,0.3118,0.3118,6.65,
2026-02-01,2026-02-01T23:59,2026-02-02T02:00,1,0.2947,0.0683,0.7901,0.3041,0.3225,0.3104,6.64,
2026-02-01,2026-02-01T23:59,2026-02-02T03:00,1,0.2762,0.0818,0.8041,0.3007,0.2702,0.2777,6.4,
2026-02-01,2026-02-01T23:59,2026-02-02T04:00,1,0.3472,0.0953,0.8093,0.3591,0.3344,0.2803,6.42,
2026-02-01,2026-02-01T23:59,2026-02-02T05:00,1,0.4067,0.1078,0.8916,0.4025,0.4116,0.3384,6.84,
2026-02-01,2026-02-01T23:59,2026-02-02T06:00,1,0.3696,0.0991,0.8529,0.3507,0.4142,0.3328,6.8,
2026-02-01,2026-02-01T23:59,2026-02-02T07:00,1,0.3809,0.0894,0.8361,0.3503,0.4004,0.3006,6.57,
2026-02-01,2026-02-01T23:59,2026-02-02T08:00,1,0.3587,0.0842,0.8663,0.3151,0.4447,0.2856,6.46,
2026-02-01,2026-02-01T23:59,2026-02-02T09:00,1,0.6625,0.2746,0.9492,0.6219,0.6854,0.4855,7.8,
2026-02-01,2026-02-01T23:59,2026-02-02T10:00,1,0.7076,0.4176,0.9289,0.6641,0.6903,0.3286,6.77,
2026-02-01,2026-02-01T23:59,2026-02-02T11:00,1,0.8284,0.4134,0.9674,0.8273,0.8814,0.401,7.25,
2026-02-01,2026-02-01T23:59,2026-02-02T12:00,1,0.9249,0.7314,0.9597,0.8552,0.9762,0.4649,7.66,
2026-02-01,2026-02-01T23:59,2026-02-02T13:00,1,0.9219,0.7764,0.9673,0.8758,0.9953,0.5241,8.06,
2026-02-01,2026-02-01T23:59,2026-02-02T14:00,1,0.9672,0.7797,0.976,0.9316,1.0,0.5575,8.28,
2026-02-01,2026-02-01T23:59,2026-02-02T15:00,1,0.8734,0.6994,0.9726,0.7461,0.9323,0.4914,7.84,
2026-02-01,2026-02-01T23:59,2026-02-02T16:00,1,0.9286,0.6199,0.9813,0.8529,0.9301,0.459,7.62,
2026-02-01,2026-02-01T23:59,2026-02-02T17:00,1,0.413,0.1807,0.8702,0.3556,0.4849,0.1688,5.44,
2026-02-01,2026-02-01T23:59,2026-02-02T18:00,1,0.1809,0.0111,0.4453,0.2259,0.1827,0.0668,3.91,
2026-02-01,2026-02-01T23:59,2026-02-02T19:00,1,0.1729,0.0126,0.4306,0.1867,0.1393,0.0318,3.07,
2026-02-01,2026-02-01T23:59,2026-02-02T20:00,1,0.0822,0.01,0.3685,0.0894,0.085,0.0334,3.11,
2026-02-01,2026-02-01T23:59,2026-02-02T21:00,1,0.0736,0.01,0.3525,0.0898,0.0516,0.0569,3.69,
2026-02-01,2026-02-01T23:59,2026-02-02T22:00,1,0.0689,0.0087,0.3805,0.0952,0.0581,0.056,3.67,
2026-02-01,2026-02-01T23:59,2026-02-02T23:00,1,0.0964,0.0094,0.3936,0.0868,0.0689,0.0695,3.97,
2026-02-01,2026-02-01T23:59,2026-02-03T00:00,2,0.1925,0.0122,0.5331,0.2116,0.1451,0.0659,3.89,
2026-02-01,2026-02-01T23:59,2026-02-03T01:00,2,0.278,0.0368,0.8059,0.2836,0.2813,0.1661,5.41,
2026-02-01,2026-02-01T23:59,2026-02-03T02:00,2,0.2291,0.0236,0.7774,0.2566,0.2492,0.1706,5.46,
2026-02-01,2026-02-01T23:59,2026-02-03T03:00,2,0.1664,0.0297,0.7853,0.1771,0.1695,0.1355,5.07,
2026-02-01,2026-02-01T23:59,2026-02-03T04:00,2,0.1684,0.0257,0.6595,0.1702,0.131,0.1034,4.57,
2026-02-01,2026-02-01T23:59,2026-02-03T05:00,2,0.1892,0.0149,0.6148,0.2081,0.1471,0.1124,4.72,
2026-02-01,2026-02-01T23:59,2026-02-03T06:00,2,0.051,0.0098,0.4223,0.0317,0.0336,0.085,4.25,
2026-02-01,2026-02-01T23:59,2026-02-03T07:00,2,0.0723,0.0104,0.3755,0.0456,0.0317,0.0384,3.24,
2026-02-01,2026-02-01T23:59,2026-02-03T08:00,2,0.0298,0.0203,0.3547,0.0189,0.0237,0.01,1.95,
2026-02-01,2026-02-01T23:59,2026-02-03T09:00,2,0.0187,0.0104,0.2998,0.0212,0.0146,0.01,1.43,
2026-02-01,2026-02-01T23:59,2026-02-03T10:00,2,0.0121,0.0093,0.1827,0.0126,0.0086,0.01,1.99,
2026-02-01,2026-02-01T23:59,2026-02-03T11:00,2,0.0243,0.0061,0.3778,0.0313,0.0293,0.0627,3.82,
2026-02-01,2026-02-01T23:59,2026-02-03T12:00,2,0.0204,0.0093,0.329,0.0146,0.0302,0.0578,3.71,
2026-02-01,2026-02-01T23:59,2026-02-03T13:00,2,0.013,0.0097,0.2832,0.0123,0.0122,0.0187,2.58,
2026-02-01,2026-02-01T23:59,2026-02-03T14:00,2,0.029,0.01,0.4249,0.0245,0.0218,0.0303,3.03,
2026-02-01,2026-02-01T23:59,2026-02-03T15:00,2,0.1416,0.0129,0.6143,0.1226,0.1607,0.1232,4.9,
2026-02-01,2026-02-01T23:59,2026-02-03T16:00,2,0.1458,0.0167,0.5534,0.1453,0.1611,0.1154,4.77,
2026-02-01,2026-02-01T23:59,2026-02-03T17:00,2,0.1272,0.0167,0.511,0.1348,0.1199,0.0788,4.14,
2026-02-01,2026-02-01T23:59,2026-02-03T18:00,2,0.2389,0.0254,0.7111,0.2551,0.205,0.2303,6.04,
2026-02-01,2026-02-01T23:59,2026-02-03T19:00,2,0.3745,0.0735,0.8466,0.4102,0.3924,0.4619,7.64,
2026-02-01,2026-02-01T23:59,2026-02-03T20:00,2,0.4047,0.0572,0.8502,0.4012,0.4062,0.3753,7.09,
2026-02-01,2026-02-01T23:59,2026-02-03T21:00,2,0.3681,0.0339,0.8243,0.3455,0.3839,0.3216,6.72,
2026-02-01,2026-02-01T23:59,2026-02-03T22:00,2,0.3605,0.0337,0.8271,0.34,0.3792,0.3048,6.6,
2026-02-01,2026-02-01T23:59,2026-02-03T23:00,2,0.2185,0.0192,0.7318,0.2171,0.2304,0.1598,5.34,
2026-02-02,2026-02-02T23:59,2026-02-03T00:00,1,0.2349,0.0233,0.6094,0.1992,0.1667,0.1463,5.19,
2026-02-02,2026-02-02T23:59,2026-02-03T01:00,1,0.2865,0.035,0.7124,0.2945,0.2786,0.2316,6.05,
2026-02-02,2026-02-02T23:59,2026-02-03T02:00,1,0.3031,0.0806,0.8244,0.3683,0.3529,0.2869,6.47,
2026-02-02,2026-02-02T23:59,2026-02-03T03:00,1,0.303,0.0749,0.8514,0.3713,0.3529,0.2936,6.52,
2026-02-02,2026-02-02T23:59,2026-02-03T04:00,1,0.303,0.0779,0.811,0.3616,0.3688,0.295,6.53,
2026-02-02,2026-02-02T23:59,2026-02-03T05:00,1,0.1375,0.0154,0.6099,0.1527,0.1356,0.116,4.78,
2026-02-02,2026-02-02T23:59,2026-02-03T06:00,1,0.0565,0.0109,0.3305,0.0687,0.0483,0.0157,2.43,
2026-02-02,2026-02-02T23:59,2026-02-03T07:00,1,0.0666,0.0104,0.4162,0.068,0.0565,0.0457,3.43,
2026-02-02,2026-02-02T23:59,2026-02-03T08:00,1,0.0416,0.0112,0.2523,0.0353,0.0284,0.0163,2.47,
2026-02-02,2026-02-02T23:59,2026-02-03T09:00,1,0.0098,0.0094,0.1565,0.0085,0.008,0.0209,2.67,
2026-02-02,2026-02-02T23:59,2026-02-03T10:00,1,0.0136,0.008,0.2915,0.0191,0.0295,0.0457,3.43,
2026-02-02,2026-02-02T23:59,2026-02-03T11:00,1,0.0773,0.0083,0.5347,0.0972,0.1048,0.1346,5.06,
2026-02-02,2026-02-02T23:59,2026-02-03T12:00,1,0.0732,0.0044,0.3591,0.0547,0.0487,0.1184,4.82,
2026-02-02,2026-02-02T23:59,2026-02-03T13:00,1,0.0257,0.0093,0.2507,0.0118,0.0314,0.0349,3.15,
2026-02-02,2026-02-02T23:59,2026-02-03T14:00,1,0.0211,0.0089,0.2567,0.0222,0.0304,0.0368,3.2,
2026-02-02,2026-02-02T23:59,2026-02-03T15:00,1,0.0196,0.0098,0.1779,0.0149,0.0249,0.016,2.45,
2026-02-02,2026-02-02T23:59,2026-02-03T16:00,1,0.0243,0.0099,0.2894,0.0288,0.0368,0.0368,3.2,
2026-02-02,2026-02-02T23:59,2026-02-03T17:00,1,0.1914,0.0182,0.5552,0.1707,0.1413,0.1208,4.86,
2026-02-02,2026-02-02T23:59,2026-02-03T18:00,1,0.1703,0.0186,0.5703,0.176,0.1769,0.0958,4.44,
2026-02-02,2026-02-02T23:59,2026-02-03T19:00,1,0.3446,0.0482,0.8043,0.2871,0.3517,0.2803,6.42,
2026-02-02,2026-02-02T23:59,2026-02-03T20:00,1,0.4397,0.0711,0.8602,0.4411,0.4538,0.3978,7.23,
2026-02-02,2026-02-02T23:59,2026-02-03T21:00,1,0.3336,0.0454,0.7638,0.3528,0.3696,0.2964,6.54,
2026-02-02,2026-02-02T23:59,2026-02-03T22:00,1,0.3027,0.032,0.7672,0.3007,0.2967,0.2724,6.36,
2026-02-02,2026-02-02T23:59,2026-02-03T23:00,1,0.3454,0.041,0.8154,0.3426,0.3519,0.3048,6.6,
2026-02-02,2026-02-02T23:59,2026-02-04T00:00,2,0.2094,0.0192,0.7331,0.2141,0.2163,0.1544,5.28,
2026-02-02,2026-02-02T23:59,2026-02-04T01:00,2,0.2775,0.0245,0.7679,0.2577,0.278,0.2474,6.17,
2026-02-02,2026-02-02T23:59,2026-02-04T02:00,2,0.3028,0.0232,0.8112,0.2927,0.3001,0.2992,6.56,
2026-02-02,2026-02-02T23:59,2026-02-04T03:00,2,0.3514,0.0389,0.829,0.3318,0.349,0.33,6.78,
2026-02-02,2026-02-02T23:59,2026-02-04T04:00,2,0.4856,0.0495,0.8799,0.4798,0.4839,0.459,7.62,
2026-02-02,2026-02-02T23:59,2026-02-04T05:00,2,0.297,0.0269,0.7724,0.2968,0.3385,0.2978,6.55,
2026-02-02,2026-02-02T23:59,2026-02-04T06:00,2,0.2484,0.0129,0.7752,0.2237,0.2757,0.2461,6.16,
2026-02-02,2026-02-02T23:59,2026-02-04T07:00,2,0.2809,0.0198,0.7678,0.2438,0.2643,0.2632,6.29,
2026-02-02,2026-02-02T23:59,2026-02-04T08:00,2,0.379,0.037,0.916,0.3767,0.4083,0.385,7.15,
2026-02-02,2026-02-02T23:59,2026-02-04T09:00,2,0.2166,0.0099,0.7735,0.2065,0.2627,0.2461,6.16,
2026-02-02,2026-02-02T23:59,2026-02-04T10:00,2,0.1338,0.0062,0.6811,0.1314,0.1708,0.1463,5.19,
2026-02-02,2026-02-02T23:59,2026-02-04T11:00,2,0.194,0.0609,0.7276,0.1581,0.1931,0.1481,5.21,
2026-02-02,2026-02-02T23:59,2026-02-04T12:00,2,0.1003,0.04,0.6829,0.0942,0.1152,0.0731,4.04,
2026-02-02,2026-02-02T23:59,2026-02-04T13:00,2,0.1069,0.0467,0.5486,0.1015,0.1217,0.0668,3.91,
2026-02-02,2026-02-02T23:59,2026-02-04T14:00,2,0.1486,0.0434,0.5747,0.1185,0.1621,0.0941,4.41,
2026-02-02,2026-02-02T23:59,2026-02-04T15:00,2,0.2028,0.0446,0.5497,0.1331,0.1775,0.0827,4.21,
2026-02-02,2026-02-02T23:59,2026-02-04T16:00,2,0.1771,0.0204,0.6259,0.11,0.1754,0.0476,3.48,
2026-02-02,2026-02-02T23:59,2026-02-04T17:00,2,0.0316,0.0122,0.4609,0.035,0.0255,0.0252,2.84,
2026-02-02,2026-02-02T23:59,2026-02-04T18:00,2,0.0497,0.0102,0.2876,0.061,0.0689,0.01,0.73,
2026-02-02,2026-02-02T23:59,2026-02-04T19:00,2,0.1386,0.0305,0.5871,0.1218,0.0985,0.1337,5.05,
2026-02-02,2026-02-02T23:59,2026-02-04T20:00,2,0.3258,0.0838,0.7507,0.3626,0.3486,0.2964,6.54,
2026-02-02,2026-02-02T23:59,2026-02-04T21:00,2,0.5772,0.1663,0.9478,0.5532,0.515,0.393,7.2,
2026-02-02,2026-02-02T23:59,2026-02-04T22:00,2,0.6857,0.2198,0.9831,0.6358,0.6952,0.4663,7.67,
2026-02-02,2026-02-02T23:59,2026-02-04T23:00,2,0.6268,0.2003,0.9702,0.6227,0.6574,0.4219,7.38,
2026-02-03,2026-02-03T23:59,2026-02-04T00:00,1,0.3201,0.0236,0.7604,0.33,0.3209,0.2632,6.29,
2026-02-03,2026-02-03T23:59,2026-02-04T01:00,1,0.4526,0.0616,0.8832,0.4564,0.451,0.3994,7.24,
2026-02-03,2026-02-03T23:59,2026-02-04T02:00,1,0.3698,0.0376,0.7924,0.3405,0.3756,0.2882,6.48,
2026-02-03,2026-02-03T23:59,2026-02-04T03:00,1,0.3398,0.0217,0.7829,0.3121,0.313,0.2737,6.37,
2026-02-03,2026-02-03T23:59,2026-02-04T04:00,1,0.2792,0.0182,0.7342,0.256,0.2701,0.2461,6.16,
2026-02-03,2026-02-03T23:59,2026-02-04T05:00,1,0.4497,0.0604,0.8824,0.4137,0.4341,0.4575,7.61,
2026-02-03,2026-02-03T23:59,2026-02-04T06:00,1,0.401,0.1033,0.8582,0.3322,0.3829,0.3426,6.87,
2026-02-03,2026-02-03T23:59,2026-02-04T07:00,1,0.4413,0.1026,0.8519,0.4215,0.4468,0.358,6.98,
2026-02-03,2026-02-03T23:59,2026-02-04T08:00,1,0.4196,0.0879,0.8226,0.3664,0.4034,0.3608,7.0,
2026-02-03,2026-02-03T23:59,2026-02-04T09:00,1,0.3747,0.0335,0.9277,0.3705,0.4163,0.385,7.15,
2026-02-03,2026-02-03T23:59,2026-02-04T10:00,1,0.3661,0.0421,0.8883,0.3657,0.4113,0.3689,7.05,
2026-02-03,2026-02-03T23:59,2026-02-04T11:00,1,0.1988,0.0225,0.7241,0.1834,0.2544,0.1833,5.59,
2026-02-03,2026-02-03T23:59,2026-02-04T12:00,1,0.1964,0.0567,0.7262,0.1803,0.2158,0.1499,5.23,
2026-02-03,2026-02-03T23:59,2026-02-04T13:00,1,0.2095,0.0771,0.6651,0.2022,0.2359,0.1463,5.19,
2026-02-03,2026-02-03T23:59,2026-02-04T14:00,1,0.1858,0.0601,0.6307,0.159,0.2272,0.1286,4.99,
2026-02-03,2026-02-03T23:59,2026-02-04T15:00,1,0.2,0.0469,0.5497,0.1371,0.1896,0.1034,4.57,
2026-02-03,2026-02-03T23:59,2026-02-04T16:00,1,0.1845,0.045,0.5514,0.1272,0.2002,0.0641,3.85,
2026-02-03,2026-02-03T23:59,2026-02-04T17:00,1,0.0801,0.0159,0.3675,0.0512,0.0348,0.0232,2.76,
2026-02-03,2026-02-03T23:59,2026-02-04T18:00,1,0.034,0.0121,0.2597,0.0457,0.0344,0.01,1.72,
2026-02-03,2026-02-03T23:59,2026-02-04T19:00,1,0.0958,0.0106,0.3775,0.0959,0.0954,0.0384,3.24,
2026-02-03,2026-02-03T23:59,2026-02-04T20:00,1,0.2261,0.0375,0.6874,0.2473,0.2156,0.2276,6.02,
2026-02-03,2026-02-03T23:59,2026-02-04T21:00,1,0.4827,0.1276,0.9155,0.4979,0.4922,0.2895,6.49,
2026-02-03,2026-02-03T23:59,2026-02-04T22:00,1,0.5138,0.1346,0.9453,0.4877,0.5034,0.351,6.93,
2026-02-03,2026-02-03T23:59,2026-02-04T23:00,1,0.6873,0.2268,1.0,0.6489,0.7498,0.4604,7.63,
2026-02-03,2026-02-03T23:59,2026-02-05T00:00,2,0.652,0.2166,0.9728,0.656,0.7263,0.4781,7.75,
2026-02-03,2026-02-03T23:59,2026-02-05T01:00,2,0.7013,0.2191,0.9709,0.6346,0.7245,0.5226,8.05,
2026-02-03,2026-02-03T23:59,2026-02-05T02:00,2,0.801,0.4012,0.9751,0.8353,0.8698,0.6011,8.57,
2026-02-03,2026-02-03T23:59,2026-02-05T03:00,2,0.8711,0.6711,0.9755,0.9173,0.8995,0.6319,8.78,
2026-02-03,2026-02-03T23:59,2026-02-05T04:00,2,0.9556,0.755,0.9804,0.9371,0.9498,0.7634,9.66,
2026-02-03,2026-02-03T23:59,2026-02-05T05:00,2,0.9704,0.9116,0.9798,0.9364,0.9777,0.8663,10.41,
2026-02-03,2026-02-03T23:59,2026-02-05T06:00,2,0.9626,0.9065,0.9805,0.9286,0.9767,0.9414,11.19,
2026-02-03,2026-02-03T23:59,2026-02-05T07:00,2,0.9667,0.9667,0.9808,0.9227,0.9754,0.9517,11.33,
2026-02-03,2026-02-03T23:59,2026-02-05T08:00,2,0.9646,0.9646,0.9836,0.9241,0.967,0.9644,11.51,
2026-02-03,2026-02-03T23:59,2026-02-05T09:00,2,0.98,0.937,0.9866,0.9774,0.9684,0.8862,10.58,
2026-02-03,2026-02-03T23:59,2026-02-05T10:00,2,0.9825,0.909,0.9832,0.9787,0.9687,0.9177,10.9,
2026-02-03,2026-02-03T23:59,2026-02-05T11:00,2,0.9814,0.9753,0.9827,0.9859,0.9694,0.9772,12.16,
2026-02-03,2026-02-03T23:59,2026-02-05T12:00,2,0.9817,0.9817,0.9819,0.9839,0.9713,0.98,12.64,
2026-02-03,2026-02-03T23:59,2026-02-05T13:00,2,0.9844,0.9702,0.9844,0.987,0.9747,0.97,11.75,
2026-02-03,2026-02-03T23:59,2026-02-05T14:00,2,0.9842,0.8617,0.9842,0.9887,0.9772,0.8882,10.6,
2026-02-03,2026-02-03T23:59,2026-02-05T15:00,2,0.9877,0.7736,0.9877,0.9837,0.9843,0.6128,8.65,
2026-02-03,2026-02-03T23:59,2026-02-05T16:00,2,0.9507,0.7256,0.9929,0.9715,0.9757,0.5635,8.32,
2026-02-03,2026-02-03T23:59,2026-02-05T17:00,2,0.9965,0.854,0.9965,0.9967,0.9862,0.5848,8.46,
2026-02-03,2026-02-03T23:59,2026-02-05T18:00,2,0.9085,0.6395,1.0,0.9557,0.9201,0.3882,7.17,
2026-02-03,2026-02-03T23:59,2026-02-05T19:00,2,0.8015,0.4592,0.9863,0.848,0.8673,0.3048,6.6,
2026-02-03,2026-02-03T23:59,2026-02-05T20:00,2,0.765,0.2372,0.9956,0.8246,0.8165,0.3244,6.74,
2026-02-03,2026-02-03T23:59,2026-02-05T21:00,2,0.6345,0.1235,0.9875,0.5919,0.6535,0.3216,6.72,
2026-02-03,2026-02-03T23:59,2026-02-05T22:00,2,0.5439,0.159,0.9828,0.5602,0.5362,0.3594,6.99,
2026-02-03,2026-02-03T23:59,2026-02-05T23:00,2,0.4587,0.0778,0.9819,0.4605,0.4693,0.2698,6.34,
2026-02-04,2026-02-04T23:59,2026-02-05T00:00,1,0.7797,0.2943,0.9652,0.7632,0.8551,0.5938,8.52,
2026-02-04,2026-02-04T23:59,2026-02-05T01:00,1,0.8075,0.468,0.9772,0.8047,0.827,0.681,9.11,
2026-02-04,2026-02-04T23:59,2026-02-05T02:00,1,0.8616,0.5101,0.9848,0.8586,0.8874,0.7704,9.71,
2026-02-04,2026-02-04T23:59,2026-02-05T03:00,1,0.9412,0.6049,0.9829,0.9391,0.945,0.8206,10.07,
2026-02-04,2026-02-04T23:59,2026-02-05T04:00,1,1.0,0.8356,1.0,0.9772,0.9859,0.8663,10.41,
2026-02-04,2026-02-04T23:59,2026-02-05T05:00,1,0.968,0.968,0.9811,0.928,0.9769,0.9255,10.98,
2026-02-04,2026-02-04T23:59,2026-02-05T06:00,1,0.9811,0.9811,0.9811,0.9734,0.9705,0.9691,11.71,
2026-02-04,2026-02-04T23:59,2026-02-05T07:00,1,0.9809,0.9809,0.9809,0.9713,0.9701,0.9733,11.89,
2026-02-04,2026-02-04T23:59,2026-02-05T08:00,1,0.9797,0.973,0.9844,0.9718,0.9697,0.9754,11.98,
2026-02-04,2026-02-04T23:59,2026-02-05T09:00,1,0.9813,0.9298,0.9854,0.9785,0.9736,0.9665,11.6,
2026-02-04,2026-02-04T23:59,2026-02-05T10:00,1,0.9783,0.9318,0.9837,0.9858,0.9693,0.9605,11.45,
2026-02-04,2026-02-04T23:59,2026-02-05T11:00,1,0.9839,0.962,0.9839,0.9881,0.9699,0.97,11.75,
2026-02-04,2026-02-04T23:59,2026-02-05T12:00,1,0.9853,0.9597,0.9853,0.9865,0.9711,0.9766,12.09,
2026-02-04,2026-02-04T23:59,2026-02-05T13:00,1,0.9849,0.8947,0.9849,0.988,0.9771,0.9436,11.22,
2026-02-04,2026-02-04T23:59,2026-02-05T14:00,1,0.9843,0.8849,0.9843,0.9896,0.9806,0.8327,10.16,
2026-02-04,2026-02-04T23:59,2026-02-05T15:00,1,0.9729,0.7733,0.9798,0.9803,0.997,0.5908,8.5,
2026-02-04,2026-02-04T23:59,2026-02-05T16:00,1,0.9711,0.7513,0.9941,0.9664,0.9404,0.5062,7.94,
2026-02-04,2026-02-04T23:59,2026-02-05T17:00,1,0.9003,0.7047,1.0,0.9449,0.9293,0.3657,7.03,
2026-02-04,2026-02-04T23:59,2026-02-05T18:00,1,0.8097,0.3798,0.983,0.8498,0.8392,0.2908,6.5,
2026-02-04,2026-02-04T23:59,2026-02-05T19:00,1,0.7793,0.1858,0.9674,0.8009,0.7892,0.3034,6.59,
